group_id,acc_val,num_training_items
grillir,1.0,8
gulli,0.9982,1238
galla,0.9935,88
palli,0.9915,1600
kalla,0.9909,259
lalli,0.9908,7
gallar,0.9895,23
ella,0.9884,1089
villa,0.9834,1578
hollum,0.9815,663
galli,0.981,20
kollu,0.9801,191
holl,0.9797,761
dalla,0.9792,182
villi,0.9789,136
kalli,0.9775,1465
malla,0.9771,379
villunni,0.9762,121
halli,0.974,1203
gullu,0.9737,60
lalla,0.9734,89
kolla,0.9717,227
holla,0.9694,66
palla,0.9693,453
malli,0.9692,53
elli,0.9588,816
gallanum,0.9545,126
villum,0.9509,36
polli,0.9508,379
mallar,0.95,17
villu,0.9496,425
holli,0.9494,67
gulla,0.9492,7
gallinn,0.9474,46
gallans,0.9412,9
gallann,0.9333,218
pollinn,0.9327,36
göllum,0.9286,13
villur,0.9252,31
gallana,0.9241,59
ollu,0.9205,116
ullar,0.9189,129
gellur,0.9141,99
alla,0.9135,16
villuna,0.875,82
drolla,0.875,20
pollarnir,0.8571,34
villan,0.8305,99
pollum,0.8305,45
halla,0.8269,177
villurnar,0.8145,13
polla,0.8101,204
grilla,0.8076,101
bolla,0.8009,246
villunnar,0.7778,26
pollar,0.7733,205
villunum,0.7692,12
bollum,0.7662,589
bollunum,0.7353,173
böll,0.73,61
dill,0.6457,36
pollana,0.6429,29
dillum,0.6,15
grilli,0.1641,13
